"site_group_id","site_group_code","site_group_name","original_site_group_name","business_label","operator_entity_name","timezone_name","default_currency_code","source_workbook","source_sheet","source_rows","site_count","identity_review_status","proposed_site_group_status","public_lookup_enabled","default_payment_enabled","notes"
"d54e01eb-b802-571e-9a47-ab328181a52f","ALABANG-TOWN-CENTER","Alabang Town Center","ALABANG TOWN CENTER ","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","44","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"15247658-8f68-5be4-9468-413d6f6f5b20","ARYA-RESIDENCES","Arya Residences","ARYA RESIDENCES","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","9","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"f91d131d-bb72-5232-a172-2d1219ce212e","AYALA-OPEN-LOT","Ayala Open Lot","AYALA OPEN LOT","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","47","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"387560fc-f0ec-5772-92a6-67efd93a1524","BRIDGETOWNE","Bridgetowne","BRIDGETOWNE","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","36;37","2","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"5b87cf69-23db-5c10-94f7-96ff0a3f9f50","CYBER-BETA","Cyber Beta","CYBER BETA","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","25","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"dd752741-9b2c-55dc-bcaa-f942db4779a9","CYBER-EXXA-TOWER","Cyber Exxa Tower","CYBER EXXA TOWER","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","4","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"25df41c5-ef63-5e24-8b0c-a31cf14029d6","CYBER-SIGMA","Cyber Sigma","CYBER SIGMA","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","10","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"c93cacc2-a937-5760-9f01-c26ed992aeae","CYBER-TERA-CYBER-GIGA","Cyber Tera / Cyber Giga","CYBER TERA/ CYBER GIGA","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","26","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"1952fd7f-0e14-5a3b-b406-a431c8c4245f","DELOS-SANTOS-HOSPITAL","Delos Santos Hospital","DELOS SANTOS HOSPITAL","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","15","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"f4d07383-fd36-576f-9ce4-f0b99fb41443","ESCOLTA","Escolta","ESCOLTA","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","34","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"554980d2-6f8f-59e5-a04c-b6d1a663149a","F-ORTIGAS-AVE","F. Ortigas Ave.","F. ORTIGAS AVE.","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","7","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"3faeb9ad-a8d1-5478-94f8-31e78adb8567","GRAND-CENTRAL-RESIDENCES","Grand Central Residences","GRAND CENTRAL RESIDENCES","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","11","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"9632dab0-5f16-551f-836e-58def469d889","INSULAR-VALRO","Insular Valro","INSULAR VALRO","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","19","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"5d31d8c2-ce1c-55ad-90cf-db4b8c6ed68d","LANDMARK-ALABANG","Landmark Alabang","LANDMARK ALABANG","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","18","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"1c40a4b4-a607-5942-91b2-a7f8af80671a","MACTAN-NEW-TOWN","Mactan New Town","MACTAN NEW TOWN","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","38;39;40;41;42;43","6","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"38478f75-36c9-58bb-9e40-aafcbf40ea1d","MAKATI-CINEMA-SQUARE","Makati Cinema Square","MAKATI CINEMA SQUARE","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","17","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"ebfee7f7-b814-52bb-a93a-2249f46b9e59","MANILA-HOTEL","Manila Hotel","MANILA HOTEL","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","24","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"030b448e-be2d-5eed-83f1-357e43943217","MARCO-POLO-HOTEL","Marco Polo Hotel","MARCO POLO HOTEL","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","27","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"5c768693-ab14-58cc-b678-684ce85280ad","MERALCO-AVE","Meralco Ave.","MERALCO AVE.","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","8","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"79430d3d-78ee-50ee-9384-809d203a883a","NATIONAL-BOOKSTORE","National Bookstore","NATIONAL BOOKSTORE","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","16","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"c5c43b8d-c8dd-570d-91c7-ed5cec205f21","PEARL-DRIVE","Pearl Drive","PEARL DRIVE","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","29","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"a6dbadf6-68b5-5bed-a7e0-a75faee70841","PITX","PITX","PITX","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","2;3","2","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"70d63a5e-928d-5281-8915-f5d9ce765451","ROBINSONS-CYBERGATE","Robinsons Cybergate","ROBINSONS CYBERGATE","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","23","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"4be2b550-7735-50ac-8759-029f2e4a013d","ROBINSONS-DAVAO-CITY-DELTA","Robinsons Davao City - Delta","ROBINSONS DAVAO CITY - DELTA","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","46","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"65c40fb7-0129-5195-948e-46474c97197d","ROBINSONS-MALABON","Robinsons Malabon","ROBINSONS MALABON","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","5","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"ff05aaf0-080f-5648-acf0-0c5ca41a1d5b","ROBINSONS-OTIS","Robinsons Otis","ROBINSONS OTIS","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","20","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"96a2bc59-f907-581e-9204-7b5996dfa9d8","ROBINSONS-PIONEER","Robinsons Pioneer","ROBINSONS PIONEER ","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","21","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"e2d55745-c646-563b-98a7-95c20eea184d","ROCKWELL-PPM","Rockwell PPM","ROCKWELL PPM","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","12","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"fa4a30e5-9e30-5735-8d41-e2a0c81dddf9","ROCKWELL-SANTOLAN","Rockwell Santolan","ROCKWELL SANTOLAN","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","13","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"59be83b6-a0ca-5813-9d7d-8fd0aa02f2a0","ROCKWELL-SHERIDAN","Rockwell Sheridan","ROCKWELL SHERIDAN","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","14","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"d873f195-7920-5dff-bf8e-adafac53bfe0","SM-GRACE-MALL","SM Grace Mall","SM GRACE MALL","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","28","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"6ae061a4-85ae-59db-af90-ba114df6fada","SM-GREEN-MALL","SM Green Mall","SM GREEN MALL","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","33","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"cfcea976-e1f3-55e4-a18e-15d1f4b5da64","SM-MPLACE-BASEMENT","SM MPlace Basement","SM MPLACE BASEMENT","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","30","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"d63c02d7-4a9f-59b2-9085-20475914cfae","SM-MPLACE-STREET","SM MPlace Street","SM MPLACE STREET","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","31","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
"4ba4d8e3-ecd8-5aea-abdd-5d2ce894dc83","TALAMBAN-TIMES-SQUARE","Talamban Times Square","TALAMBAN TIMES SQUARE","","","Asia/Manila","PHP","Carparks.xlsx","Sheet1","45","1","REVIEWED_UNAMBIGUOUS","DRAFT","FALSE","FALSE","Catalog identity only; operational activation requires separate approval and future SQL implementation."
